X,Y,OBJECTID,Record_Num,Date_Updated,AgencySiteService,PublicComments,AgencyName,ServiceName,ServiceName2,SiteName,AlternateName,FormerName,LegalName,OfficePhone,TollFreePhone,TTYPhone,AfterHoursPhone,TextPhone,CrisisPhone,Fax,EMail,Website,SocialMedia,PrimaryContact,PrimaryContactEmail,PrimaryContactFax,PrimaryContactName,PrimaryContactPhone,PrimaryContactTitle,AlternateContact,VolunteerCoordinator,EmailForm,ParentAgencyRecordNum,ParentAgencyName,DescriptionAgency,LegalStatus,Established,PrimaryExecutive,PrimaryExecutiveEmail,PrimaryExecutiveFax,PrimaryExecutiveName,PrimaryExecutivePhone,PrimaryExecutiveTitle,AlternateExecutive,Funding,Elections,DescriptionService,Hours,Dates,Meetings,AreasServed,Boundaries,Eligibility,Application,Languages,Fees,AdditionalServices,SiteLocation,LocatedInCommunity,SiteBuilding,SiteCity,SiteCountry,SitePostalCode,SiteProvince,SiteStreetName,SiteStreetDirection,SiteStreetNum,SiteStreetType,SiteAddressSuffix,Longitude,Geocoding,Latitude,Intersection,MailBoxType,MailBuilding,Mail_CO,MailCity,MailCountry,MailPOBox,MailPostal,MailProvince,MailStreetName,MailStreetDirection,MailStreetNum,MailStreetType,MailAddressSuffix,PhysicalAccess,Taxonomy,AdditionalServiceSites,AgencySites,AgencyServices,RecordOwnerAgency
586151.8058,4818974.1624,22327,MIL0626,20240912,"Agency ; Site ; Service","<ul>
<li>Country Heritage Park is not open to the public except during event times</li>
<li>for complete listing of services, facility rentals and attractions, please visit the website <a href=""http:/",Country Heritage Park,"Food and Farm Education, Field Trip Venue, Private Tours, Heritage Venue, Event Venue and Operational Farm",,Milton,Country Heritage Agricultural Society,,Country Heritage Agricultural Society,905-878-8151,,,,,,,info@countryheritagepark.com,www.countryheritagepark.com,"Facebook: https://www.facebook.com/CountryHeritagePark/
Instagram: www.instagram.com/countryheritagepark/
Pinterest: www.pinterest.com/countryherpark/
X (Twitter): twitter.com/CHeritagePark","Taylor Henderson, Chief Executive Officer; Email: taylor@countryheritagepark.com",taylor@countryheritagepark.com,,Taylor Henderson,,Chief Executive Officer,"Risham Kaur, Event Manager; Email: risham@countryheritagepark.com",Email: volunteer@countryheritagepark.com,,,,"<p>Country Heritage Park (CHP) provides a unique link, creating a rural-urban bridge that connects schools, families, and residents throughout Ontario with food and farming. Park has 80 acres of land ",(51) Registered Charity,1974,"Taylor Henderson, Chief Exeucutive Officer, Country Heritage Agricultural Society",,,Taylor Henderson,,Chief Exeucutive Officer,,"Grants ; Fundraising ; Donations ; Fees - event rentals, site rentals, tour fees",AGM April,"<p>Country Heritage Park (CHP) is a thriving cultural landmark offering educational progams that focus on farming, sustainability and cultural history, using more than 30 heritage buildings and displa","<p>Office Mon-Fri, 9 am - 5 pm</p>",,,Halton Region,,Private tours or pre-bookings only * Not open to the general public,"<ul>
<li>Memberships available with board approval</li>
<li>Contact for information</li>
</ul>",English,"Program ; Service - rental fees ; Admission ; Education Program Fees (Field Trips, School tours); Private Tour Fees; Event Rental Fee; Site Rental Fee; Admission Fee",,,Milton,,Milton,,L9T 2X3,ON,Tremaine,,8560,Rd,,-79.934023,"Site Address data
43.5187370, -79.9340230",43.518737,Tremaine Rd and Campbellville Rd,PO Box,,Country Heritage Park,Milton,,38,L9T 2X3,ON,Tremaine,,8560,Rd,,Fully Accessible,"Banquet Facilities ; Historic Preservation ; Meeting Space ; Museums ; Sightseeing/Guided Tours ; Special Events ~ Agricultural Issues ; Special Events ~ Rural Issues",,,,Information Milton
588188.0029,4824311.6945,22328,MIL0642,20240426,"Agency ; Site ; Service",,Ontario Steam and Antique Preservers Association,Ontario Steam and Antique Preservers Association,,Milton,"OSAPA ; STEAM-ERA",,,,,,,,,,info@osapa.ca,www.osapa.ca,Facebook: https://www.facebook.com/steamera.osapa/,,,,,,,,"Joan Corradetti, Volunteer Chairperson; Email: volunteers@osapa.ca",,,,"<p>The Ontario Steam &amp; Antique Preservers Association aims to advance the knowledge, appreciation &amp; interest of rural antiques and Canada's agricultural heritage. This is accomplished through ",(50) Non Profit,1961,"Joseph Tielemans, President; Email: directors@osapa.ca",directors@osapa.ca,,Joseph Tielemans,,President,"Ken Nurse, Vice President; Email: directors@osapa.ca","Fees - admission fees ; Sponsorships, General Admission $15.00",November each year,<p>The Association participates in a variety of community events to promote its objects. The Association hosts and presents the annual STEAM-ERA Show each Labour Day Weekend at The Humes's Auction Far,"<p>Steam-Era: Labour day weekend: Fri 11:30 am-5 pm, Sat 9 am-5pm, Sun 9 am-5 pm, (Mini Tractor Pulls Sat &amp; Sun 5:30 pm-11 pm), Mon 9 am-4 pm&nbsp;</p>
<ul>
<li>membership meetings monthly, all members and their guests welcome</li>
</ul>",,,Ontario,,"<ul><li>available to anyone wishing to join 
<li>not necessary to be an owner of a tractor, car or steam engine</ul>",<p>Email for information and membership inquiries</p>,English,"Membership - membership entitles one to free entry to Steam Era and all exhibits and displays as well as camping privileges ; Admission ; 2024 Membership fees are $45.00, $20.00 and $7.50 Annually * visit website for more information",,Hume's Auction Farm,Milton,Hume's Auction Farm,Milton,,L9T 2X9,ON,Fourth,,9313,Line,,-79.907966,"Site Address data
43.5665510, -79.9079660",43.566551,James Snow Parkway and Esquesing Line,Box,Station Main,O.S.A.P.A,Milton,,133,L9T 2Y3,ON,,,,,,Fully Accessible - Steam Era location,"Historic Preservation ; Special Events",,,,Information Milton
589756.0081,4819921.162,22329,MIL0645,20240711,"Site ; Service",,Service Canada - Halton Region,Federal Government Services,Milton,Milton,Canada. Service Canada,,,,"Service Canada 1-800-622-6232 (1-800-O-Canada); 
CPP/OAS 1-800-277-9914; 
Employers Hiring Foreign Workers 1-866-556-5518; 
Record of Employment - Services for Employers: Orders, Information and Recor","Service Canada 1-800-926-9105; 
Employment Insurance 1-800-529-3742; 
Income Security Program 1-800-255-4786; 
Record of Employment - Services for Employers: Orders, Information and Record of Employme",,,,,,www.servicecanada.gc.ca/tbsc-fsco/sc-dsp.jsp?rc=3256&lang=eng,"X (Twitter): https://twitter.com/ServiceCanada_E
YouTube: https://www.youtube.com/user/ServiceCanadaE",,,,,,,,,,OAK0040,Service Canada - Halton Region,,,,,,,,,,,,,"<p>One-stop service delivery for a wide range of federal programs and services includes:</p>
<p>All Canadians</p>
<ul>
<li>apprenticeship grants &nbsp;</li>
<li>benefits finder &nbsp;</li>
<li>Canadia","<p>Mon-Fri, 8:30 am-4 pm (closed from 12 noon-12:30 pm)</p>",,,Halton Region,,Varies with program,"<p>To book an appointment online for Passport Service, visit <a href=""https://eservices.canada.ca/en/reservation/"" target=""_blank"">eServiceCanada</a></p>
<p>For assistance with the following, please complete an online <a href=""https://eservices.canada.ca/en/service/"">eServiceCanada service request form</a> and Service Canada will call within 2 business days:</p>
<ul>
<li>Employment Insurance</li>
<li>Canada Pension Plan</li>
<li>Canada Pension Plan Disability</li>
<li>Old Age Security</li>
<li>Guaranteed Income Supplement</li>
<li>Social Insurance Number</li>
<li>Veterans Affairs Canada Services</li>
<li>Ukraine immigration measures: financial assistance</li>
<li>Grants and Contributions Online Services</li>
<li>Record of employment on the web</li>
<li>Canadian Dental Care Plan</li>
</ul>","English ; French",Service - for some services,,,Milton,,Milton,,L9T 1Y4,ON,Steeles,E,433,Ave,"Ground Floor, Suite 103",-79.889279,"Site Address data
43.5268380, -79.8892790",43.526838,Ontario St N and Steeles Ave E,,,,,,,,,,,,,,Fully Accessible,"Allowance for the Survivor Program ; Canada Child Benefit Information ; Canada Pension Plan ; Canada Pension Plan Disability Benefit ; Canada Pension Plan Survivors Benefit ; Certificates/Forms Assistance ~ Government Services Issues ; Employment Insurance ; Federal Government Information Services ~ Government Services Issues ; Guaranteed Income Supplement ; Job Information ; Old Age Security Program ; Passports ; Social Insurance Number Documentation ; Specialized Information and Referral ~ Government Services Issues ; Summer Employment",,,,Information Oakville
579412.3774,4816700.6892,22330,MIL0665,20241115,"Agency ; Site ; Service",,Hitherfield School,Hitherfield School,,Campbellville,,,,905-854-0890,,,,,,,info@hitherfieldschool.com,www.hitherfieldschool.com,"Facebook: www.facebook.com/hitherfieldschool/
LinkedIn: https://ca.linkedin.com/company/hitherfield-school","Zachery Scott, Executive Director; Email: zscott@hitherfieldschool.com",zscott@hitherfieldschool.com,,Zachery Scott,,Executive Director,"Vanessa McNaught, Principal; Email: vsmcnaught@hitherfieldschool.com",,,,,"<p>A private, co-educational day school for pre-school to Grade 8.</p>",(60) Commercial,1991,"Ann Scott, Founder, Hitherfield School",,,Ann Scott,,Founder,,Fees,,"<ul>
<li>private, co-educational day school for preschool to Grade 8</li>
<li>special features include a full-size gym with theatre, a pond, cross country ski trails and a forest for nature walks</li>","<ul>
<li>Mon-Fri 8:25 am-3:45 pm</li>
<li>office hours: 7:30-5:30 pm</li>
<li>after school care available</li>
</ul>",,,Halton Region,,Ages: 3 year(s) - 13 year(s),"<ul>
<li>Personal Tour of Hitherfield School</li>
<li>Potential students are invited for a Trail Day</li>
<li>Upon admittance, an academic assessment will be scheduled</li>
<li>Admissions Welcome Package (forms, deposit, policies)&nbsp;</li>
</ul>","English ; French","Program ; Fees are the same Junior Kindergarten-Grade 8 * refer to website for further information
Fees for Pre-School children relate to number of days attending",,,Milton,Hitherfield Private School,Campbellville,,L0P 1B0,ON,10,,2439,Side Rd,,-80.017731,"Site Address data
43.4990160, -80.0177310",43.499016,Guelph Line and 10 SdRd,,,,,,,,,,,,,,Fully Accessible,Elementary Schools,,,,Information Milton
585302.7931,4817407.9246,22331,MIL0693,20241122,"Agency ; Site ; Service",,Milton Heights Ski Racing Club,Milton Heights Ski Racing Club,,Glen Eden Ski and Snowboard Centre,,,,,,,,,,,info@miltonheights.com,www.miltonheights.com,"Facebook: https://www.facebook.com/Milton-Heights-Racing-Club-208476042655738/
Instagram: www.instagram.com/miltonheightsracingclub/","Mike Henry, President",,,Mike Henry,,President,"Lavinia Bucur, Vice President",,,,,"<p>The Milton Heights Racing Club is located at the Glen Eden Ski and Snowboard Centre in Milton, Ontario. It is a non-profit organization that is a member of Alpine Ontario South Division and the Ass",(50) Non Profit,1971,,,,,,,,Fees,,<p>Provides opportunities for athletes to raise their alpine ski / snowboard racing skills to a higher level of excellence by participation in a program based on the skill level of the athletes Alpine,<p>Vary by program</p>,,,Halton Region,,Learn to Race Program - must be able to ski or snowboard,<p>Check website for details</p>,English,"Membership ; Program",,,Milton,"Glen Eden Ski and Snowboard Centre, Kelso Conservation Area",Milton,,L9T 2X7,ON,Kelso,,5234,Rd,,-79.944772,"Manual map placement
43.5047340, -79.9447720",43.504734,Tremaine Rd and Campbellville Rd,,,,,,,,,,,,,,Not Accessible,"Skiing ; Snowboarding",,,,Information Milton
628218.88,4792010.4871,22332,MIL0707,20240502,Service,,Conservation Halton,Summer Camps,,,CH,Way of the Woods & Wee Ways of the Woods (July 2014),,905-336-1158,,,,,,,web@hrca.on.ca,conservationhalton.ca/wow,"Flickr: www.flickr.com/photos/conservationhalton
LinkedIn: https://www.linkedin.com/company/conservation-halton
YouTube: www.youtube.com/user/conservationhalton","Linda Scott, Manager, Visitor Experience; Phone: ext 0; Email: lscott@hrca.on.ca",lscott@hrca.on.ca,,Linda Scott,ext 0,"Manager, Visitor Experience",,,,MIL0796,Conservation Halton,,,,,,,,,,,"Regional / Municipal ; Fees",,"<p>Campers ages 4 to 15 can choose from eighteen different camps with streams geared towards recreation, education, and leadership. Boating, swimming, climbing, archery, mountain biking, animal care, ",<p>Camp hours vary with programs.</p>,<p>July to August.</p>,,Halton Region,,Ages: 4 year(s) - 15 year(s),<p>Online registration</p>,English,"Program ; Check website for details",,,Burlington,,,,,,,,,,,-79.42,,43.27,,,,,Burlington,,,L6L 5V7,ON,Britannia,W,2596,Rd,,Not Applicable - varies with program locations,Day Camps ~ Youth,Burlington - Mount Nemo Conservation Area * Campbellville - Mountsberg Conservation Area * Milton - Crawford Lake Conservation Area * Milton - Kelso Conservation Area / Glen Eden,,,Information Milton
591804.3227,4820283.1765,22333,MIL0753,20240605,"Site ; Service",,Milton. Community Services,Recreation Facilities & Programs,Milton Leisure Centre,Milton Leisure Centre,,,,905-878-7946,,905-878-1657- Town Hall,,,,905-878-8371,recreation@milton.ca,bit.ly/3YcMuKO,"Facebook: https://www.facebook.com/townofmiltonon
Instagram: https://www.instagram.com/townofmiltonon/
LinkedIn: https://www.linkedin.com/company/town-of-milton/
X (Twitter): https://x.com/TownOfMilto","Crispin Martin, Supervisor, Facility Rentals and Operational Support; Phone: 905-878-7252 ext 2603",,,Crispin Martin,905-878-7252 ext 2603,"Supervisor, Facility Rentals and Operational Support",,"Volunteer Services; Phone: 905-864-4132 ext 4905; Email: volunteer@milton.ca",,MIL0710,Milton. Community Services,,,,,,,,,,,City / Town,,"<p>A full-service recreational facility, offering recreational activities, instructional classes, fitness and special interest programs</p>
<ul>
<li>lap pool</li>
<li>play pool with water slide</li>
<","<p>Customer Service: Mon-Fri 8 am-8 pm, Sat 8 am-4 pm, Sun 8 am-7 pm</p>",<p>Closed on statutory holidays</p>,,"Erin ; Halton Hills ; Milton ; Mississauga - West ; Oakville - North",,Fitness classes and weight room ages 14 and older,"<p><a href=""https://www.milton.ca/en/arts-and-recreation/registration-information.aspx"" target=""_blank"">Register online</a> for programs</p>","English ; American Sign Language (ASL) ; ASL interpreters are available on request * call 905-878-7252 ext 2109 or email <A HREF=""mailto:accessibility@milton.ca"">accessibility@milton.ca</A>",Program,Facility Rentals * Swimming,,Milton,Milton Leisure Centre,Milton,,L9T 6H7,ON,Main,E,1100,St,,-79.863875,"Site Address data
43.5298480, -79.8638750",43.529848,Thompson Rd and Main St E,,,,,,,,,,,,,,Fully Accessible,"Extreme Cold Warming Centres ; Extreme Heat Cooling Centres ; General Recreational Activities/Sports ; Meeting Space ; Physical Fitness ; Recreation Centres ; Swimming/Swimming Lessons",,,,Information Milton
588807.8383,4808446.8743,22334,MIL0796,20240503,"Agency ; Site ; Service",,Conservation Halton,Conservation Halton,,Burlington - Britannia Rd,"CH ; Halton Region Conservation Authority",,,905-336-1158,,,,,,905-336-7014,web@hrca.on.ca,conservationhalton.ca,"Flickr: www.flickr.com/conservationhalton
LinkedIn: https://www.linkedin.com/company/conservation-halton
YouTube: www.youtube.com/user/conservationhalton","Linda Scott, Manager, Visitor Experience, Conservation Halton; Phone: 905-336-1158 ext 2248; Email: lscott@hrca.on.ca",lscott@hrca.on.ca,,Linda Scott,905-336-1158 ext 2248,"Manager, Visitor Experience",,,,,,"<p>Community based environmental agency that protects, restores, and manages the natural resources in its watershed.</p>
<ul>
<li>Staff include ecologists, land use planners, engineers, foresters, edu",(51) Registered Charity,,"Craig Machan, Director, Parks and Operations; Phone: 905-878-5011 ext 1244; Email: cmachan@hrca.on.ca",cmachan@hrca.on.ca,,Craig Machan,905-878-5011 ext 1244,"Director, Parks and Operations",,"Regional / Municipal ; Provincial ; Fundraising ; Fees",,"<p>Operates the following Conservation Parks:</p>
<ul>
<li><a href=""https://halton.cioc.ca/record/MIL0623"">Crawford Lake Conservation Area</a></li>
<li><a href=""https://halton.cioc.ca/record/MIL0622"">",<p>Administration open Monday to Friday between 8:30 am - 4 pm. Parks open daily. Hours vary seasonally.</p>,,,"Halton Region ; Hamilton (City of) ; Mississauga ; Wellington",,No restrictions,"<p>Memberships available, contact for information.</p>",English,"Membership ; Donation ; Admission",Green Space: Newcomer Youth Climate Forum * Public Education/Outreach Programs,,Burlington,Administration Office,Burlington,,L7P 0G3,ON,Britannia,,2596,Rd,,-79.902881,"Site Address data
43.4236520, -79.9028810",43.423652,Guelph Line and Britannia Rd W,,,,,,,,,,,,,,Fully Accessible,Nongovernmental Agency Departments ~ Environmental Issues,,Burlington - Mount Nemo Conservation Area * Campbellville - Mountsberg Conservation Area * Milton - Area 8 Conservation Area * Milton - Crawford Lake Conservation Area * Milton - Hilton Falls Conserva,"Conservation Land & Recreational Trails, Burlington - Mount Nemo Conservation Area * Conservation Land & Recreational Trails, Campbellville - Mountsberg Conservation Area * Conservation Land & Recreat",Information Milton
585205.3931,4817482.4448,22335,MIL0863,20240104,"Site ; Service",,Halton. Regional Municipality of Halton,Heritage Services,,Kelso Conservation Area,,Halton Region Museum,,905-825-6000 ext 7935,1-866-442-5866 ext 7935,905-827-9833,,,,905-876-4322,heritage@halton.ca,https://www.halton.ca/The-Region/Heritage-Services,"Facebook: https://www.facebook.com/RegionofHalton/
Instagram: https://www.instagram.com/regionofhalton/
LinkedIn: https://ca.linkedin.com/company/halton-region
X (Twitter): https://twitter.com/Regiono","Cindy Colford, Supervisor, Heritage Services, Halton Region Heritage Services; Phone: (Business) 905-825-6000 ext 7935; Email: heritage@halton.ca",heritage@halton.ca,,Cindy Colford,(Business) 905-825-6000 ext 7935,"Supervisor, Heritage Services",,,,OAK3491,Halton. Regional Municipality of Halton,,,,,,,,,,,Regional / Municipal,,"<p>Halton Region leads a vibrant and inclusive heritage community that connects people and place while linking the past, present and future. Heritage Services fosters discovery, appreciation and under","<ul>
<li>Office Mon-Fri 8:30 am-4:30 pm&nbsp;</li>
<li>Not open to the public</li>
<li>Research services by appointment only or enquire via website</li>
</ul>",,,Halton Region,,No restrictions,<p>Call for information</p>,"English ; For translation and other support contact Halton Region at accesshalton@halton.ca","Admission - included in admission fee to Kelso Conservation Area from May to Sep ; From May to September there are fees to enter Kelso Conservation Area. No fees to access Heritage Services offices.",,Kelso Conservation Area/Glen Eden,Milton,Halton Region Heritage Services,Milton,,L9E 0C5,ON,Kelso,,5181,Rd,,-79.945965,"Manual map placement
43.5054160, -79.9459650",43.505416,Tremaine Rd and Kelso Rd,,,,,,,,,,,,,,Partially Accessible - designated parking,"Archives ; Historic Preservation ; Historical Societies ; Museums ; Planning/Coordinating/Advisory Groups",,,,Information Milton
591345.0084,4818570.7278,22336,MIL0874,20240831,"Agency ; Site ; Service",,Ernest C Drury School for the Deaf,Ernest C Drury School for the Deaf,,Milton,"1PSBEDU (Provincial school for the deaf) ; E C Drury School for the Deaf ; Provincial and Demonstration School",,,905-878-2851,,905-878-7195,,,,Elementary School 905-878-9261 * Secondary School 905-878-9390,,pdsbnet.ca,Instagram: https://www.instagram.com/ecdruryhighschoolforthedeaf/,"Lori Moroney, Principal, Secondary Program; Fax: 905-878-9261; Email: Lori.moroney@ontario.ca",Lori.moroney@ontario.ca,905-878-9261,Lori Moroney,,"Principal, Secondary Program","Jeanne Leonard, Principal, Elementary program",,,,,"<p>Elementary and Secondary programs provide education services for Deaf and hard-of-hearing children from the age of diagnosis through to high school graduation. &nbsp;<br>Resource Services provides ","(30) Provincial Government ; (60) Commercial",,"Stephany Balogh, Executive Director, Provinicial and Demonstration Schools Branch, Ministry of Education",,,Stephany Balogh,,Executive Director,"Linda Wall, Superintendent, Provincial and Demonstration Schools Branch; Phone: 519-453-4400; Email: linda.wall@ontario.ca",Provincial,,"<p>Services include:&nbsp;</p>
<ul>
<li>elementary program - JK to Grade 8</li>
<li>secondary program - Grades 9-12 - includes basic, general, and advanced level courses, technical/vocational programs",<p>Mon-Fri 8:30 am-4:30 pm</p>,,,Ontario,,Deaf and hard-of-hearing children and youth from the age of diagnosis through to high school graduation,<p>Call for information</p>,"English ; American Sign Language (ASL)",None,Ontario Youth Apprenticeship Program,,Milton,Ernest C Drury School for the Deaf,Milton,,L9T 2M5,ON,Ontario,S,255,St,,-79.869846,"Site Address data
43.5144880, -79.8698460",43.514488,Ontario St and Childs Dr,,,,,,,,,,,,,,Fully Accessible,"Professional Skills Development Support ~ Hearing Loss ; Public Special Schools ~ Hearing Loss ; Student Disability Services ~ Hearing Loss",,,Ontario Youth Apprenticeship Program,Information Milton
589854.3199,4820003.5635,22337,MIL0878,20240306,"Agency ; Site ; Service",,Halton County Law Association,Halton County Law Association,,Milton - Provincial Courthouse,,,,905-878-1272,1-866-838-5139,,,,,905-878-8298,info@haltoncountylaw.ca,haltoncountylaw.ca,"Facebook: www.facebook.com/HaltonCountyLawAssociation
LinkedIn: https://www.linkedin.com/company/halton-county-law-association","Arielle Vaca, Librarian",,,Arielle Vaca,,Librarian,,,,,,<p>A private law library made available for local lawyers who are members of Law Society of Ontario.</p>,(50) Non Profit,1951,,,,,,,,"Fees ; Private ; Membership fees",,"<ul>
<li>private law library available for local lawyers and paralegals who are members of the Law Society of Ontario, and articling students</li>
<li>after-hour access is restricted to HCLA paid-up m",<p>Mon-Fri 9 am-4:30 pm</p>,,,Halton Region,,Local members of Law Society of Ontario,<p>Call for application information</p>,English,Service,,,Milton,Provincial Courthouse,Milton,,L9T 1Y7,ON,Steeles,E,491,Ave,,-79.888049,"Site Address data
43.5275680, -79.8880490",43.527568,Ontario St N and Steeles Ave E,,,,,,,,,,,,,,Fully Accessible,"Legal Assistance Referral Services ; Special Libraries ~ Legal Issues",,,,Information Milton
593648.8032,4825643.108,22338,MIL0884,20240502,"Agency ; Site ; Service",,Hope Place Centres,Men's Residential Addiction Treatment,,Halton Hills - Trafalgar Rd,,Halton Recovery House,,905-878-1120,1-877-761-6357,,,,,905-878-1269,admissions@hopeplacecentres.org,www.hopeplacecentres.org,"LinkedIn: https://www.linkedin.com/company/hope-place-centres/
X (Twitter): https://twitter.com/HopePlaceCentre","Eftimia Georgakakos, Business Development Manager; Phone: 905-465-0291; Email: eftimiag@hopeplacecentres.org",eftimiag@hopeplacecentres.org,,Eftimia Georgakakos,905-465-0291,Business Development Manager,,,,,,"<p>A registered charitable organization providing specialized treatment for men and women with addiction issues, at three sites located in Halton Region.</p>",(51) Registered Charity,1975,"Amy Wilson, Chief Executive Officer; Phone: 905-878-8416; Email: amyw@hopeplacecentres.org",amyw@hopeplacecentres.org,,Amy Wilson,905-878-8416,Chief Executive Officer,,"Provincial - Ontario Health - Central Region ; Grants - Trillium Foundation, Halton Community Foundation ; Donations ; United Way - Halton & Hamilton",AGM September,"<p>Offering a 40 day live-in, integrated stage one trauma and addiction treatment program for adult men (18+ years) who live anywhere in the province of Ontario&nbsp;<br>&nbsp;<br><strong>Program cons",<p>Mon-Fri 9 am-4 pm</p>,,,Ontario,,"Ages: 18 year(s) and up

<br><br><ul><li>Male adults only
<li>potential clients must meet the admissions process criteria</ul>","<ul>
<li>Clients are welcome to contact the Admissions department for infomration and referrals</li>
<li>Individuals looking for OHIP funded treatment will be given infomraiton to contact a referal agency in their community to have their Provincial Assessment Tools completed</li>
<li>A telephone screening will be done&nbsp;</li>
</ul>",English,"Program ; <ul><li>seven no-wait-admission beds available through insurance companies, employers, EAP and private funding  
<li>fourteen beds are funded and provided free-of-charge to the client
<li>an activity fee (depending on length of stay) is collected on admission day</ul>",Community Based Addiction Treatment * Women's Residential Addiction Treatment,Less than a kilometer north of Steeles Ave on the east side of Trafalgar Road,Halton Hills,,Hornby,,L0P 1E0,ON,Trafalgar,,8173,Rd,,-79.840128,"Site Address data
43.5778710, -79.8401280",43.577871,Trafalgar Rd and Steeles Ave,,,,,,,,,,,,,,Partially Accessible - main floor only,Residential Substance Use Disorder Treatment Facilities ~ Men,,,Community Based Addiction Treatment * Women's Residential Addiction Treatment,Information Oakville
593648.8032,4825643.108,22339,MIL0886,20240502,Service,,Hope Place Centres,Women's Residential Addiction Treatment,,Halton Hills - Trafalgar Rd,,,,905-875-3214,1-877-399-7299,,,,,905-465-3321,intake@hopeplacecentres.org,www.hopeplacecentres.org,X (Twitter): https://twitter.com/HopePlaceCentre,"Eftimia Georgakakos, Business Development Manager; Phone: 905-465-0291",,,Eftimia Georgakakos,905-465-0291,Business Development Manager,,,,MIL0884,Hope Place Centres,,,1989,,,,,,,,"Provincial - Ontario Health atHome ; Donations ; United Way - Halton & Hamilton",,"<p>A 40-day integrated addiction and trauma residential treatment program, in a caring community setting where women's unique needs, experiences and situations are recognized in the complexity of alco","<ul>
<li>Administration Mon-Fri 8:30 am-4:30 pm</li>
<li>Centre Mon-Sun 24 hours service during the 40-day cycle</li>
</ul>",,,Ontario,,"Ages: 18 year(s) and up

<br><br><ul><li>Open to women ages 18 and over 
<li>services provided to women with alcohol and/or drug addiction who are ready to make changes in their lives
<li>prior to admission, women must be attending three 12 step meetings per week</ul>","<ul>
<li>Self-referral</li>
<li>telephone screening starts the process</li>
<li>Provincial Assessment Tools must have been done at an Addiction Assessment Agency and faxed to the Admissions Department</li>
</ul>",English,None - covered by a valid Ontario Health Insurance Card,,,Halton Hills,,Hornby,,L0P 1E0,ON,Trafalgar,,8173,Rd,,-79.840128,"Site Address data
43.5778710, -79.8401280",43.577871,Trafalgar Rd and Steeles Ave,,,,,,,,,,,,,,"Not Accessible ; No public transit available to the centre",Residential Substance Use Disorder Treatment Facilities ~ Women,Halton Hills - Trafalgar Rd,,,Information Oakville
589119.8438,4819689.6507,22340,MIL0887,20240911,"Site ; Service","<p><strong>Note: For current visiting hours call 905-878-8141 and press ""1"" for specific details</strong></p>",Ontario. Ministry of the Solicitor General,Maplehurst Correctional Complex,,Milton - 661 Martin St,Maplehurst Correctional Centre,Ontario. Ministry of Community Safety and Correctional Services (2018),,905-878-8141,,,,,,905-878-5363,,www.ontario.ca/page/correctional-facilities#section-2,"Facebook: https://www.facebook.com/ONsafety
X (Twitter): https://twitter.com/onsafety",,,,,,,,,,MIL0930,Ontario. Ministry of the Solicitor General,,,,,,,,,,,Provincial,,"<p>Medium to maximum security correctional facility for adult males 18 years of age and over, sentenced to less than two years incarceration and for those remanded in custody pending appearance in cou","<p>Administration Mon-Fri 8:30 am-4:30 pm;&nbsp;<br><strong>For current visiting hours call 905-878-8141 and press ""1"" for specific details</strong></p>",,,Ontario,,"Ages: 18 year(s) and up

Adult males sentenced to less than two years incarceration and those remanded in custody pending appearance in court",<p>No application required</p>,"English ; French",None,,,Milton,,Milton,,L9T 2Y3,ON,Martin,,661,St,,-79.897188,"Site Address data
43.5248300, -79.8971880",43.52483,Hwy 25 and Hwy 401,Box,,,Milton,,10,L9T 2Y3,ON,Martin,,661,St,,Fully Accessible,Provincial/Territorial Correctional Centres ~ Men,,,,Information Oakville
591458.7775,4818271.5805,22341,MIL0891,20240301,"Agency ; Site ; Service",,Ontario. Ministry of Education,Trillium Demonstration School,,Milton,,,,905-878-2851 ext 320,,,,,,905-878-4278,desiree.smith@ontario.ca,tri.pdsbnet.ca,,"Desiree Smith, Principal; Phone: 905-878-2851 ext 340",,,Desiree Smith,905-878-2851 ext 340,Principal,,,,,,<p>Provincial ministry responsible for policies and legislation regarding elementary and secondary education</p>,(30) Provincial Government,1979,,,,,,,,Provincial,,"<p>A residential demonstration school for students with severe learning disabilities that also provides in-service teacher education and consultative services to school boards&nbsp;</p>
<h4>Main Servi",<p>Office Mon-Fri 8:30 am-4:30 pm</p>,,,Ontario,,Identified students with learning challenges,"<p>Student's home school or home school board to contact Trillium Resource Services department to request consultation, assessment, and/or application package</p>",English,None,,,Milton,"Trillium Demonstration School, Building H",Milton,,L9T 3X9,ON,Ontario,S,347,St,,-79.868489,"Site Address data
43.5117810, -79.8684890",43.511781,Ontario St S and Derry Rd,,,,,,,,,,,,,,Fully Accessible,"Educational Therapy ~ Children and Youth With Disabilities ; Professional Skills Development Support ~ Learning Disabilities ; Provincial/Territorial Government Departments ~ Education Issues ; Public Special Schools ~ Learning Disabilities",,,,Information Oakville
